,time,latitude,longitude,sst,bathymetry_m,optional
1,2021-02-16T00:00:00Z,18.73,203.63,25.22055,-3841.675,TRUE
2,2021-02-16T00:00:00Z,18.73,203.64,25.22345,-3901.192857,TRUE
3,2021-02-16T00:00:00Z,18.73,203.65,25.226807,-3769.333333,TRUE
4,2021-02-16T00:00:00Z,18.73,203.66,25.231964,-3826.444444,TRUE
5,2021-02-16T00:00:00Z,18.73,203.67,25.236603,-3769.333333,TRUE
6,2021-02-16T00:00:00Z,18.73,203.68,25.238464,-3769.333333,TRUE
7,2021-02-16T00:00:00Z,18.73,203.69,25.236877,-3792,TRUE
8,2021-02-16T00:00:00Z,18.73,203.7,25.232391,-3875,TRUE
9,2021-02-16T00:00:00Z,18.73,203.71,25.225708,-3932,TRUE
10,2021-02-16T00:00:00Z,18.73,203.72,25.217377,-4241,TRUE
11,2021-02-16T00:00:00Z,18.73,203.73,25.20993,-4428,TRUE
12,2021-02-16T00:00:00Z,18.73,203.74,25.206482,-4566,TRUE
13,2021-02-16T00:00:00Z,18.73,203.75,25.206848,-4600,TRUE
14,2021-02-16T00:00:00Z,18.73,203.76,25.208038,-4644,TRUE
15,2021-02-16T00:00:00Z,18.73,203.77,25.207703,-4646,TRUE
16,2021-02-16T00:00:00Z,18.73,203.78,25.20517,-4655,TRUE
17,2021-02-16T00:00:00Z,18.73,203.79,25.20105,-4492,TRUE
18,2021-02-16T00:00:00Z,18.73,203.8,25.198517,-4450,TRUE
19,2021-02-16T00:00:00Z,18.73,203.81,25.199738,-4515,TRUE
20,2021-02-16T00:00:00Z,18.73,203.82,25.204193,-4560,TRUE
21,2021-02-16T00:00:00Z,18.73,203.83,25.210266,-4642,TRUE
22,2021-02-16T00:00:00Z,18.73,203.84,25.215332,-4477,TRUE
23,2021-02-16T00:00:00Z,18.73,203.85,25.217224,-4458,TRUE
24,2021-02-16T00:00:00Z,18.73,203.86,25.218018,-4627,TRUE
25,2021-02-16T00:00:00Z,18.73,203.87,25.221924,-4727,TRUE
26,2021-02-16T00:00:00Z,18.73,203.88,25.228607,-4670,TRUE
27,2021-02-16T00:00:00Z,18.73,203.89,25.234894,-4672,TRUE
