time,latitude,longitude,sst
2021-02-16T00:00:00Z,18.73,-155.41,24.528107
2021-02-16T00:00:00Z,18.73,-155.4,24.537811
2021-02-16T00:00:00Z,18.73,-155.39,24.546906
2021-02-16T00:00:00Z,18.73,-155.38,24.552368
2021-02-16T00:00:00Z,18.73,-155.37,24.553986
2021-02-16T00:00:00Z,18.73,-155.36,24.553314
2021-02-16T00:00:00Z,18.73,-155.35,24.55133
2021-02-16T00:00:00Z,18.73,-155.34,24.550354
2021-02-16T00:00:00Z,18.73,-155.33,24.5513
2021-02-16T00:00:00Z,18.73,-155.32,24.555603
2021-02-16T00:00:00Z,18.73,-155.31,24.561676
2021-02-16T00:00:00Z,18.73,-155.3,24.567627
2021-02-16T00:00:00Z,18.73,-155.29,24.572296
2021-02-16T00:00:00Z,18.73,-155.28,24.57492
2021-02-16T00:00:00Z,18.73,-155.27,24.575836
2021-02-16T00:00:00Z,18.73,-155.26,24.575653
2021-02-16T00:00:00Z,18.73,-155.25,24.57544
2021-02-16T00:00:00Z,18.73,-155.24,24.575775
2021-02-16T00:00:00Z,18.73,-155.23,24.577148
2021-02-16T00:00:00Z,18.73,-155.22,24.578491
2021-02-16T00:00:00Z,18.73,-155.21,24.579102
2021-02-16T00:00:00Z,18.73,-155.2,24.577637
2021-02-16T00:00:00Z,18.73,-155.19,24.57306
2021-02-16T00:00:00Z,18.73,-155.18,24.566101
2021-02-16T00:00:00Z,18.73,-155.17,24.557617
2021-02-16T00:00:00Z,18.73,-155.16,24.551086
2021-02-16T00:00:00Z,18.73,-155.15,24.55008
2021-02-16T00:00:00Z,18.73,-155.14,24.553223
2021-02-16T00:00:00Z,18.73,-155.13,24.555878
2021-02-16T00:00:00Z,18.73,-155.12,24.555145
2021-02-16T00:00:00Z,18.73,-155.11,24.550568
2021-02-16T00:00:00Z,18.73,-155.1,24.543823
2021-02-16T00:00:00Z,18.73,-155.09,24.538422
2021-02-16T00:00:00Z,18.73,-155.08,24.536652
2021-02-16T00:00:00Z,18.73,-155.07,24.536896
2021-02-16T00:00:00Z,18.73,-155.06,24.53772
2021-02-16T00:00:00Z,18.73,-155.05,24.538849
2021-02-16T00:00:00Z,18.73,-155.04,24.540222
2021-02-16T00:00:00Z,18.73,-155.03,24.54013
2021-02-16T00:00:00Z,18.73,-155.02,24.536743
2021-02-16T00:00:00Z,18.73,-155.01,24.531555
2021-02-16T00:00:00Z,18.73,-155,24.526398
2021-02-16T00:00:00Z,18.73,-154.99,24.521729
2021-02-16T00:00:00Z,18.73,-154.98,24.51654
2021-02-16T00:00:00Z,18.73,-154.97,24.510376
2021-02-16T00:00:00Z,18.73,-154.96,24.504547
2021-02-16T00:00:00Z,18.73,-154.95,24.500702
2021-02-16T00:00:00Z,18.73,-154.94,24.500397
2021-02-16T00:00:00Z,18.73,-154.93,24.50415
2021-02-16T00:00:00Z,18.73,-154.92,24.510345
2021-02-16T00:00:00Z,18.73,-154.91,24.516785
2021-02-16T00:00:00Z,18.73,-154.9,24.521088
2021-02-16T00:00:00Z,18.73,-154.89,24.52118
2021-02-16T00:00:00Z,18.73,-154.88,24.517365
2021-02-16T00:00:00Z,18.73,-154.87,24.510376
2021-02-16T00:00:00Z,18.73,-154.86,24.500153
2021-02-16T00:00:00Z,18.73,-154.85,24.487396
2021-02-16T00:00:00Z,18.73,-154.84,24.47464
2021-02-16T00:00:00Z,18.73,-154.83,24.467255
2021-02-16T00:00:00Z,18.73,-154.82,24.464691
2021-02-16T00:00:00Z,18.73,-154.81,24.464233
2021-02-16T00:00:00Z,18.73,-154.8,24.464142
2021-02-16T00:00:00Z,18.73,-154.79,24.462585
2021-02-16T00:00:00Z,18.73,-154.78,24.459656
2021-02-16T00:00:00Z,18.73,-154.77,24.457
2021-02-16T00:00:00Z,18.73,-154.76,24.456207
2021-02-16T00:00:00Z,18.73,-154.75,24.458374
2021-02-16T00:00:00Z,18.73,-154.74,24.46347
2021-02-16T00:00:00Z,18.73,-154.73,24.469604
2021-02-16T00:00:00Z,18.73,-154.72,24.4747
2021-02-16T00:00:00Z,18.73,-154.71,24.476837
2021-02-16T00:00:00Z,18.73,-154.7,24.475159
2021-02-16T00:00:00Z,18.73,-154.69,24.470642
2021-02-16T00:00:00Z,18.73,-154.68,24.465302
2021-02-16T00:00:00Z,18.73,-154.67,24.4599
2021-02-16T00:00:00Z,18.73,-154.66,24.454956
2021-02-16T00:00:00Z,18.73,-154.65,24.451508
2021-02-16T00:00:00Z,18.73,-154.64,24.450867
2021-02-16T00:00:00Z,18.73,-154.63,24.45337
2021-02-16T00:00:00Z,18.73,-154.62,24.45935
2021-02-16T00:00:00Z,18.74,-156.37,25.216827
2021-02-16T00:00:00Z,18.74,-156.36,25.216583
2021-02-16T00:00:00Z,18.74,-156.35,25.218018
2021-02-16T00:00:00Z,18.74,-156.34,25.223236
2021-02-16T00:00:00Z,18.74,-156.33,25.22937
2021-02-16T00:00:00Z,18.74,-156.32,25.233368
2021-02-16T00:00:00Z,18.74,-156.31,25.2341
2021-02-16T00:00:00Z,18.74,-156.3,25.23114
2021-02-16T00:00:00Z,18.74,-156.29,25.225342
