id,x,y,longitude,latitude,depth,strat,strat_area
site_01,274.2669682580746,1504.9226830166663,144.91363558423467,13.604219563012238,0.8354653595387935,1,1.350097850146935
site_02,277.0291454309896,1500.3190543951541,144.93951295840765,13.562831812996668,4.457368242049433,2,0.09419287326606524
site_03,248.486647977535,1488.4519228374784,144.67693323284158,13.453298604245889,2.8449908542633056,3,2.8885814468260005
site_04,276.72223685622123,1498.579905804805,144.93681373616155,13.547092709782126,2.8885206282138824,4,0.06279524884404349
site_05,243.78071649775396,1487.4288942549201,144.6335842990519,13.443650872049783,4.429285415472129,5,0.9105311082386306
site_06,247.15671082020557,1489.3726485617808,144.66457598558077,13.461503504714102,1.635003993588109,6,3.872373678716015
site_07,250.32809942614497,1465.6383854464293,144.69588835410974,13.247332259211818,0.6949442911148072,7,0.3349079938348986
site_08,276.1084197066846,1505.8434087409687,144.93057521419522,13.612681569796354,5.493666648864746,8,0.010465874807340582
site_09,249.81658513486443,1465.4337797299177,144.6911879511201,13.245440957327597,1.0927965873479843,9,4.395667419083044
site_10,249.20276798532777,1465.842991162941,144.68549165416343,13.249086937009608,0.6017448362708092,10,0.1151246228807464
site_11,251.86264229998662,1465.4337797299177,144.71005925745135,13.245611037124798,1.17682804107666,11,1.0675192303487393
site_12,277.3360540057579,1504.4111687253871,144.94202887339208,13.599833334016632,1.6111349948597224,12,0.10465874807340582
site_13,258.71693380314593,1475.9709741302677,144.77241069887944,13.341380934362551,0.6902146247889975,13,3.506068060459095
site_14,251.96494515824273,1491.2141000103857,144.7088041703039,13.478549755721636,5.57562803030014,14,14.94526922488235
site_15,248.69125369404722,1465.229174013406,144.68082635546781,13.243498187820293,1.279685184955597,14,14.94526922488235
site_16,261.27450525954873,1485.178231373292,144.7952533823643,13.424781417323215,2.5048316890001296,14,14.94526922488235
site_17,269.04952248701306,1510.6516430789925,144.864971191028,13.655577543686396,0.8124597340822219,14,14.94526922488235
site_18,247.97513368625445,1466.1498997377084,144.6741425223373,13.251756873397017,5.45101634979248,15,1.172177978422145
site_19,246.03137937938837,1466.7637168872434,144.65616165414056,13.257138527168026,2.582095859050751,16,1.9885162133947105
site_20,265.26431673153695,1502.2628087020148,144.83068763136941,13.579474578966394,1.3934556096227784,17,17.04891006115781
